UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Co,AL,1996,1,94771,1495942,56249,859675,60159,1597585,1140,15616,212319,3968818
195,Alabama Power Co,AL,1996,2,73905,1146611,48394,748545,57576,1571469,1028,15533,180903,3482158
195,Alabama Power Co,AL,1996,3,60316,945026,47353,818271,53327,1684935,1111,16872,162107,3465104
195,Alabama Power Co,AL,1996,4,59844,897999,47745,762555,55501,1572619,1175,16763,164265,3249936
195,Alabama Power Co,AL,1996,5,78355,1107937,66538,1031319,70201,1760225,1261,17351,216355,3916832
195,Alabama Power Co,AL,1996,6,103205,1494337,65514,1039941,68805,1670882,1123,15381,238647,4220541
195,Alabama Power Co,AL,1996,7,128749,1833012,71018,1116126,71540,1708493,1183,15678,272490,4673309
195,Alabama Power Co,AL,1996,8,111224,1557942,68845,1047433,72870,1706599,1136,16018,254075,4327992
195,Alabama Power Co,AL,1996,9,91446,1279111,63195,983414,62963,1669752,1127,15518,218731,3947795
195,Alabama Power Co,AL,1996,10,60302,820398,57620,889606,63244,1684907,1204,16986,182370,3411897
195,Alabama Power Co,AL,1996,11,60268,841223,52017,819083,63668,1649167,111,16179,177132,3325652
195,Alabama Power Co,AL,1996,12,76422,1174223,51964,788508,59774,1722624,1062,14678,189222,3700033
213,Alaska Electric Light&Power Co,AK,1996,1,1402,15500,331,3855,340,4756,441,6343,2514,30454
213,Alaska Electric Light&Power Co,AK,1996,2,1444,16278,351,4207,353,5140,471,7281,2619,32906
213,Alaska Electric Light&Power Co,AK,1996,3,1189,13135,307,3541,323,4475,427,6300,2246,27451
213,Alaska Electric Light&Power Co,AK,1996,4,1178,12407,311,3588,333,4645,438,6326,2260,26966
213,Alaska Electric Light&Power Co,AK,1996,5,961,9621,291,3172,321,4257,395,5212,1968,22262
213,Alaska Electric Light&Power Co,AK,1996,6,727,8427,234,3093,278,4421,310,4435,1549,20376
213,Alaska Electric Light&Power Co,AK,1996,7,705,8162,226,2963,267,4207,293,4117,1491,19449
