UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Co,AL,1995,1,79606,1259812,49715,735605,59780,1506553,1081,15117,190182,3517087
195,Alabama Power Co,AL,1995,2,63849,987833,44054,654741,57344,1562456,1018,14603,166265,3219633
195,Alabama Power Co,AL,1995,3,59863,901136,49472,741414,62871,1653294,1165,16362,173371,3312206
195,Alabama Power Co,AL,1995,4,57879,778083,50569,759262,65009,1519270,1182,16127,174639,3072742
195,Alabama Power Co,AL,1995,5,77735,1090926,63495,942350,76035,1745935,1320,17273,218585,3796484
195,Alabama Power Co,AL,1995,6,100535,1418983,60646,890162,76159,1738915,1069,13841,238409,4061901
195,Alabama Power Co,AL,1995,7,121183,1729056,69905,1055353,71335,1685093,1225,16575,263648,4486077
195,Alabama Power Co,AL,1995,8,137943,1931101,73251,1080157,81187,1810936,1275,16053,293656,4838247
195,Alabama Power Co,AL,1995,9,101250,1375760,59758,855942,71667,1681316,967,13661,233642,3926679
195,Alabama Power Co,AL,1995,10,62727,842451,55100,842268,64509,1745216,1172,16624,183508,3446559
195,Alabama Power Co,AL,1995,11,57014,839470,46978,746120,58850,1621751,1090,15730,163932,3223071
195,Alabama Power Co,AL,1995,12,77485,1228620,47510,739846,60850,1591842,1055,14882,186900,3575190
213,Alaska Electric Light&Power Co,AK,1995,1,1334,15309,317,3885,306,4454,430,6735,2387,30383
213,Alaska Electric Light&Power Co,AK,1995,2,1217,13915,304,3723,299,4374,426,6642,2246,28654
213,Alaska Electric Light&Power Co,AK,1995,3,1157,13087,286,3454,297,4179,403,5969,2143,26689
213,Alaska Electric Light&Power Co,AK,1995,4,1068,12093,292,3580,308,4578,406,6277,2074,26528
213,Alaska Electric Light&Power Co,AK,1995,5,839,8909,262,3053,284,3952,378,5285,1763,21199
213,Alaska Electric Light&Power Co,AK,1995,6,694,8528,222,3134,252,4217,310,4926,1478,20805
213,Alaska Electric Light&Power Co,AK,1995,7,637,7608,218,3024,254,4128,284,4336,1393,19096
213,Alaska Electric Light&Power Co,AK,1995,8,679,8224,224,3107,263,4347,289,4409,1455,20087
213,Alaska Electric Light&Power Co,AK,1995,9,695,8437,233,3248,269,4478,313,4862,1510,21025
213,Alaska Electric Light&Power Co,AK,1995,10,769,9372,230,3135,263,4255,317,4843,1579,21605
213,Alaska Electric Light&Power Co,AK,1995,11,1116,12167,302,3528,318,4448,412,5905,2148,26048
213,Alaska Electric Light&Power Co,AK,1995,12,1360,15071,321,3745,336,4683,428,6208,2445,29707
599,Anchorage City of,AK,1995,1,1536,16097,4662,58853,0,0,132,1783,6330,76733
599,Anchorage City of,AK,1995,2,1298,13373,4441,55489,0,0,127,1585,5866,70447
599,Anchorage City of,AK,1995,3,1267,13011,4303,52876,0,0,132,1691,5702,67578
599,Anchorage City of,AK,1995,4,1237,12673,4554,57297,0,0,138,2156,5929,72126
599,Anchorage City of,AK,1995,5,1040,10473,4074,51281,0,0,172,2653,5286,64407
599,Anchorage City of,AK,1995,6,1040,10455,4158,53370,0,0,119,718,5317,64543
599,Anchorage City of,AK,1995,7,1019,10237,4231,54467,0,0,101,154,5351,64858
599,Anchorage City of,AK,1995,8,974,9673,4102,51985,0,0,120,640,5196,62298
599,Anchorage City of,AK,1995,9,1099,11126,4339,56066,0,0,268,4127,5706,71319
599,Anchorage City of,AK,1995,10,1054,10824,4100,54023,0,0,121,955,5275,65802
599,Anchorage City of,AK,1995,11,1211,12722,4218,56285,0,0,132,1379,5561,70386
599,Anchorage City of,AK,1995,12,1732,16745,5450,62339,0,0,145,1189,7327,80273
689,Anoka Electric Coop,MN,1995,1,4416,61759,1708,34468,217,4949,67,577,6408,101753
689,Anoka Electric Coop,MN,1995,2,4309,60453,1376,22817,261,6419,59,532,6005,90221
689,Anoka Electric Coop,MN,1995,3,4132,57252,1530,27752,242,5777,61,526,5965,91307
689,Anoka Electric Coop,MN,1995,4,3747,50238,1541,28361,237,5618,62,538,5587,84755
689,Anoka Electric Coop,MN,1995,5,4002,47719,1695,27913,282,6069,74,679,6053,82380
689,Anoka Electric Coop,MN,1995,6,4758,57681,2923,44517,285,6393,111,1104,8077,109695
689,Anoka Electric Coop,MN,1995,7,6248,79874,1588,27225,254,5714,244,3640,8334,116453
689,Anoka Electric Coop,MN,1995,8,5470,70408,2439,40529,261,5936,223,3622,8393,120495
689,Anoka Electric Coop,MN,1995,9,4057,52570,1655,29714,258,5705,100,972,6070,88961
689,Anoka Electric Coop,MN,1995,10,4191,56982,1699,27250,241,5408,94,1131,6225,90771
689,Anoka Electric Coop,MN,1995,11,4189,56828,1842,35223,265,5957,68,620,6364,98628
689,Anoka Electric Coop,MN,1995,12,5038,70223,1821,32895,239,5710,73,672,7171,109500
727,Appalachian Electric Coop,TN,1995,1,2972,50034,855,13082,406,9701,12,220,4245,73037
727,Appalachian Electric Coop,TN,1995,2,3145,53239,847,12488,388,8958,9,144,4389,74829
727,Appalachian Electric Coop,TN,1995,3,2316,37932,790,11840,402,9754,9,147,3517,59673
727,Appalachian Electric Coop,TN,1995,4,1865,29601,738,10773,382,8490,9,136,2994,49000
727,Appalachian Electric Coop,TN,1995,5,1718,26897,811,12352,408,9705,9,134,2946,49088
727,Appalachian Electric Coop,TN,1995,6,1945,31066,858,13042,405,9339,8,127,3216,53574
727,Appalachian Electric Coop,TN,1995,7,2261,37424,899,13847,427,9587,8,120,3595,60978
727,Appalachian Electric Coop,TN,1995,8,2516,42280,975,15555,463,9928,10,143,3964,67906
727,Appalachian Electric Coop,TN,1995,9,2240,37022,909,13795,408,9163,9,142,3566,60122
727,Appalachian Electric Coop,TN,1995,10,1770,28034,824,12525,395,9087,11,174,3000,49820
727,Appalachian Electric Coop,TN,1995,11,2262,37382,821,12320,398,9451,11,174,3492,59327
727,Appalachian Electric Coop,TN,1995,12,2780,47345,809,12172,424,9919,15,270,4028,69706
733,Appalachian Power Co,VA,1995,1,32337,602418,10382,222696,15410,431353,2780,53982,60909,1310449
733,Appalachian Power Co,WV,1995,1,29515,544575,13944,260653,14447,389884,251,3578,58157,1198690
733,Appalachian Power Co,VA,1995,2,30214,553884,10278,209213,15582,423184,2635,51980,58709,1238261
733,Appalachian Power Co,WV,1995,2,27002,491017,13605,246781,14331,365335,242,2948,55180,1106081
733,Appalachian Power Co,VA,1995,3,23791,440451,9325,195383,15590,448247,2329,48016,51035,1132097
733,Appalachian Power Co,WV,1995,3,22598,397203,12959,230398,14708,384986,242,2904,50507,1015491
733,Appalachian Power Co,VA,1995,4,19894,324926,8951,183783,15638,440464,2064,42233,46547,991406
733,Appalachian Power Co,WV,1995,4,17860,297784,12210,214355,14461,380504,243,2570,44774,895213
733,Appalachian Power Co,VA,1995,5,19359,314327,9481,195037,16647,469803,2199,44130,47686,1023297
733,Appalachian Power Co,WV,1995,5,17226,283351,13159,236801,14599,383885,245,2391,45229,906428
733,Appalachian Power Co,VA,1995,6,21243,352538,10447,222445,16505,463839,2397,47195,50592,1086017
733,Appalachian Power Co,WV,1995,6,18009,299314,13225,239715,14270,371848,244,2257,45748,913134
733,Appalachian Power Co,VA,1995,7,25973,450975,11473,248945,15861,438500,2234,43414,55541,1181834
733,Appalachian Power Co,WV,1995,7,24421,425424,15225,286167,13974,349308,243,2367,53863,1063266
733,Appalachian Power Co,VA,1995,8,26736,482665,11319,246642,17043,484735,2323,44588,57421,1258630
733,Appalachian Power Co,WV,1995,8,26082,464771,15067,286610,14667,376800,242,2506,56058,1130687
733,Appalachian Power Co,VA,1995,9,18460,311632,9158,196486,15320,434993,2285,43307,45223,986418
733,Appalachian Power Co,WV,1995,9,17947,305458,12910,238878,13931,370728,240,2629,45028,917693
733,Appalachian Power Co,VA,1995,10,20308,320582,10206,206809,17398,486605,2668,50614,50580,1064610
733,Appalachian Power Co,WV,1995,10,16845,268620,13932,244901,15374,402717,256,3280,46407,919518
733,Appalachian Power Co,VA,1995,11,27493,488861,10091,206470,16362,446849,2656,51080,56602,1193260
733,Appalachian Power Co,WV,1995,11,24361,428078,13651,240394,15199,389028,252,3345,53463,1060845
733,Appalachian Power Co,VA,1995,12,33549,646191,10260,225447,14679,425197,2746,54978,61234,1351813
733,Appalachian Power Co,WV,1995,12,30607,569321,13608,260847,14333,386489,255,3689,58803,1220346
803,Arizona Public Service Co,AZ,1995,1,51570,579461,46475,571202,12753,242375,974,3660,111772,1396698
803,Arizona Public Service Co,AZ,1995,2,46404,512770,45509,556254,12656,234722,931,6522,105500,1310268
803,Arizona Public Service Co,AZ,1995,3,39701,420501,45343,555651,12885,243520,917,6435,98846,1226107
803,Arizona Public Service Co,AZ,1995,4,38568,404846,45811,555887,13147,244596,1044,6876,98570,1212205
803,Arizona Public Service Co,AZ,1995,5,44474,417880,48101,592011,13513,251990,937,6495,107025,1268376
803,Arizona Public Service Co,AZ,1995,6,54668,522860,57789,658465,14684,264589,961,6656,128102,1452570
803,Arizona Public Service Co,AZ,1995,7,75484,739317,64795,744148,15175,265019,961,6480,156415,1754964
803,Arizona Public Service Co,AZ,1995,8,88760,878667,68646,801871,15763,275244,885,6164,174054,1961946
803,Arizona Public Service Co,AZ,1995,9,88635,881995,70428,825035,15202,272071,955,6572,175220,1985673
803,Arizona Public Service Co,AZ,1995,10,61651,598178,61590,702724,14012,254795,962,6852,138215,1562549
803,Arizona Public Service Co,AZ,1995,11,42865,461249,47587,599668,12900,247410,947,6586,104299,1314913
803,Arizona Public Service Co,AZ,1995,12,40014,431181,50097,605373,13547,256708,936,6489,104594,1299751
814,Arkansas Power & Light Co,AR,1995,1,45089,521323,23298,318962,26503,494539,1376,19470,96266,1354294
814,Arkansas Power & Light Co,AR,1995,2,40209,464590,22327,311836,25596,476503,1309,18797,89441,1271726
814,Arkansas Power & Light Co,AR,1995,3,38921,440853,22639,316028,25520,467923,1284,14631,88364,1239435
814,Arkansas Power & Light Co,AR,1995,4,31665,339950,22289,302324,26099,488161,1270,28534,81323,1158969
814,Arkansas Power & Light Co,AR,1995,5,31458,334703,22399,294522,25981,492772,1319,18176,81157,1140173
814,Arkansas Power & Light Co,AR,1995,6,45821,474657,29243,379370,32822,533909,1479,19543,109365,1407479
814,Arkansas Power & Light Co,AR,1995,7,57878,603512,32232,421819,35539,545118,1704,23376,127353,1593825
814,Arkansas Power & Light Co,AR,1995,8,72638,753307,35458,462053,38027,610015,1728,23032,147851,1848407
814,Arkansas Power & Light Co,AR,1995,9,69579,735111,35649,474667,37762,597107,1676,22979,144666,1829864
814,Arkansas Power & Light Co,AR,1995,10,38004,414659,27158,366580,30975,558247,1355,18848,97492,1358334
814,Arkansas Power & Light Co,AR,1995,11,33014,349942,23331,311995,30377,537971,1293,18299,88015,1218207
814,Arkansas Power & Light Co,AR,1995,12,38586,434673,22453,307131,27651,510777,1290,17164,89980,1269745
817,Arkansas Valley Elec Coop Corp,AR,1995,1,2631,40370,297,4589,438,14075,35,501,3401,59535
817,Arkansas Valley Elec Coop Corp,AR,1995,2,2507,40019,292,4861,435,14763,36,571,3270,60951
817,Arkansas Valley Elec Coop Corp,AR,1995,3,2199,33436,272,4261,423,14426,33,469,2927,52592
817,Arkansas Valley Elec Coop Corp,AR,1995,4,1989,29978,288,4681,473,15063,33,468,2783,50190
817,Arkansas Valley Elec Coop Corp,AR,1995,5,1955,26947,296,4425,505,15116,32,431,2788,46919
817,Arkansas Valley Elec Coop Corp,AR,1995,6,2241,33126,331,5203,525,15108,37,519,3134,53956
817,Arkansas Valley Elec Coop Corp,AR,1995,7,2758,42583,341,5434,543,16198,43,619,3685,64834
817,Arkansas Valley Elec Coop Corp,AR,1995,8,3373,53887,383,6248,549,15918,50,759,4355,76812
817,Arkansas Valley Elec Coop Corp,AR,1995,9,3477,56692,428,7235,497,15809,58,904,4460,80640
817,Arkansas Valley Elec Coop Corp,AR,1995,10,1969,30101,312,5213,468,14813,38,563,2787,50690
817,Arkansas Valley Elec Coop Corp,AR,1995,11,1928,29449,322,5367,478,14864,33,482,2761,50162
817,Arkansas Valley Elec Coop Corp,AR,1995,12,2382,35496,304,4680,517,15376,35,502,3238,56054
963,Atlantic City Electric Company,NJ,1995,1,37145,321967,26686,269282,8136,104509,932,5093,72899,700851
963,Atlantic City Electric Company,NJ,1995,2,36521,318595,26109,265953,6276,70277,875,4752,69781,659577
963,Atlantic City Electric Company,NJ,1995,3,32900,285164,25079,254175,7791,93905,934,4471,66704,637715
963,Atlantic City Electric Company,NJ,1995,4,28684,243635,24313,243819,7488,91931,903,3814,61388,583199
963,Atlantic City Electric Company,NJ,1995,5,25332,210963,24688,247321,7762,91230,959,3551,58741,553065
