UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
176,Ajo Improvement Co,AZ,2001,1,28,365,837,64,453,135,11,167,1,7,104,52,110,1089,1025
176,Ajo Improvement Co,AZ,2001,2,24,299,841,45,386,134,9,131,1,7,100,52,85,916,1028
176,Ajo Improvement Co,AZ,2001,3,23,280,841,59,485,137,7,105,1,7,107,52,96,977,1031
176,Ajo Improvement Co,AZ,2001,4,23,252,839,70,453,137,6,81,1,8,111,52,107,897,1029
176,Ajo Improvement Co,AZ,2001,5,34,413,846,54,574,137,5,77,1,13,176,52,106,1240,1036
176,Ajo Improvement Co,AZ,2001,6,35,424,850,42,591,133,4,59,1,7,68,52,88,1142,1036
176,Ajo Improvement Co,AZ,2001,7,74,560,844,66,621,135,6,52,1,19,143,52,165,1376,1032
176,Ajo Improvement Co,AZ,2001,8,73,492,842,55,475,130,7,59,1,26,208,52,161,1234,1025
176,Ajo Improvement Co,AZ,2001,9,61,461,846,49,473,128,8,63,1,25,195,52,143,1192,1027
176,Ajo Improvement Co,AZ,2001,10,47,346,845,35,425,137,6,56,1,17,140,52,105,967,1035
176,Ajo Improvement Co,AZ,2001,11,37,266,847,27,362,132,6,60,1,14,110,52,84,798,1032
176,Ajo Improvement Co,AZ,2001,12,48,347,853,-4,377,137,7,64,1,13,106,52,64,894,1043
195,Alabama Power Company,AL,2001,1,112456,1796710,1133540,65301,1018392,193039,59206,1544397,4806,1213,15918,708,238176,4375417,1332093
195,Alabama Power Company,AL,2001,2,70172,1030615,1133536,55247,881205,193291,53682,1616285,4801,1158,12928,708,180259,3541033,1332336
195,Alabama Power Company,AL,2001,3,81290,1047493,1134545,68998,978810,193738,64648,1557588,4752,1402,17617,708,216338,3601508,1333743
195,Alabama Power Company,AL,2001,4,82870,1071419,1133950,67021,945527,194418,70918,1788251,4722,1322,16575,709,222131,3821772,1333799
195,Alabama Power Company,AL,2001,5,87803,1193538,1133158,73800,1167322,195137,70537,1773116,4722,1407,17892,709,233547,4151868,1333726
195,Alabama Power Company,AL,2001,6,109865,1516170,1133933,74326,1158904,195496,71415,1951341,4721,1221,16297,710,256827,4642712,1334860
195,Alabama Power Company,AL,2001,7,139125,1931929,1134452,83628,1291716,195896,69657,1757154,4711,1409,16583,712,293819,4997382,1335771
195,Alabama Power Company,AL,2001,8,130463,1795713,1138409,81348,1276342,196184,72934,1859453,4702,1408,17010,712,286153,4948518,1340007
195,Alabama Power Company,AL,2001,9,100089,1397427,1137981,70462,1131463,196291,62655,1786231,4705,1215,15506,712,234421,4330627,1339689
195,Alabama Power Company,AL,2001,10,72969,986180,1138493,65825,1034410,196429,56665,1646806,4724,1106,17570,712,196565,3684966,1340358
195,Alabama Power Company,AL,2001,11,69230,957544,1139144,59597,926936,196726,60751,1745794,4734,1232,17117,712,190810,3647391,1341316
195,Alabama Power Co,AL,2001,12,82167,1156233,1139542,64206,987685,196617,50865,1433606,4728,1387,17088,715,198625,3594612,1341602
213,Alaska Electric Light&Power Co,AK,2001,1,1343,13592,12754,359,4018,1384,377,5010,95,483,6693,626,2562,29313,14859
213,Alaska Electric Light&Power Co,AK,2001,2,1266,12822,12765,355,4026,1383,362,4935,95,489,6880,631,2472,28663,14874
213,Alaska Electric Light&Power Co,AK,2001,3,1187,11942,12769,335,3722,1386,349,4562,95,463,6328,632,2334,26554,14882
213,Alaska Electric Light&Power Co,AK,2001,4,1205,11543,12777,366,3936,1390,389,4895,95,502,6505,641,2462,26879,14903
213,Alaska Electric Light&Power Co,AK,2001,5,1040,10017,12784,330,3543,1397,345,4397,95,452,5825,644,2167,23782,14920
213,Alaska Electric Light&Power Co,AK,2001,6,796,9171,12800,274,3705,1396,293,4631,96,356,5446,647,1719,22953,14939
213,Alaska Electric Light&Power Co,AK,2001,7,745,8498,12762,270,3615,1404,298,4712,96,328,5114,651,1641,21939,14913
213,Alaska Electric Light&Power Co,AK,2001,8,723,8211,12823,284,3901,1401,291,4586,94,325,5054,651,1623,21752,14969
213,Alaska Electric Light&Power Co,AK,2001,9,774,9162,12825,329,4889,1403,304,5087,97,360,5913,651,1767,25051,14976
213,Alaska Electric Light&Power Co,AK,2001,10,841,9916,12857,280,3873,1403,286,4494,100,353,5621,654,1760,23904,15014
213,Alaska Electric Light&Power Co,AK,2001,11,1162,11655,12874,340,3758,1401,372,4936,98,479,6686,656,2353,27035,15029
213,Alaska Electric Light&Power Co,AK,2001,12,1349,13698,12890,361,4041,1399,392,5244,98,492,6929,655,2594,29912,15042
219,Alaska Power Co,AK,2001,1,441,2012,3909,642,2982,1759,,,,,,,1083,4994,5668
219,Alaska Power Co,AK,2001,2,413,1830,3913,628,3027,1753,,,,,,,1041,4857,5666
219,Alaska Power Co,AK,2001,3,378,1783,3932,593,2989,1764,,,,,,,971,4772,5696
219,Alaska Power Co,AK,2001,4,380,1782,3955,628,3119,1775,,,,,,,1008,4901,5730
219,Alaska Power Co,AK,2001,5,365,1566,3990,604,3254,1814,,,,,,,969,4820,5804
219,Alaska Power Co,AK,2001,6,305,1574,4040,607,3328,1811,,,,,,,912,4902,5851
219,Alaska Power Co,AK,2001,7,340,1702,4038,640,3605,1815,,,,,,,980,5307,5853
219,Alaska Power Co,AK,2001,8,322,1584,4034,613,3433,1816,,,,,,,935,5017,5850
219,Alaska Power Co,AK,2001,9,346,1644,4073,656,3430,1809,,,,,,,1002,5074,5882
219,Alaska Power Co,AK,2001,10,415,1731,4076,565,3066,1782,,,,,,,980,4797,5858
219,Alaska Power Co,AK,2001,11,325,1809,4051,584,2877,1731,,,,,,,909,4686,5782
219,Alaska Power Co,AK,2001,12,494,2099,4032,623,3167,1722,,,,,,,1117,5266,5754
261,Alcoa Generating Corp,IN,2001,1,,,,,,,6687,381784,1,,,,6687,381784,1
261,Alcoa Generating Corp,IN,2001,2,,,,,,,7030,348158,1,,,,7030,348158,1
261,Alcoa Generating Corp,IN,2001,3,,,,,,,7524,386789,1,,,,7524,386789,1
261,Alcoa Generating Corp,IN,2001,4,,,,,,,8654,403074,1,,,,8654,403074,1
261,Alcoa Generating Corp,IN,2001,5,,,,,,,10259,433729,1,,,,10259,433729,1
261,Alcoa Generating Corp,IN,2001,6,,,,,,,8282,416322,1,,,,8282,416322,1
261,Alcoa Generating Corp,IN,2001,7,,,,,,,8436,425547,1,,,,8436,425547,1
261,Alcoa Generating Corp,IN,2001,8,,,,,,,9968,418863,1,,,,9968,418863,1
261,Alcoa Generating Corp,IN,2001,9,,,,,,,8124,398508,1,,,,8124,398508,1
261,Alcoa Generating Corp,IN,2001,10,,,,,,,10229,412029,1,,,,10229,412029,1
261,Alcoa Generating Corp,IN,2001,11,,,,,,,8065,396471,1,,,,8065,396471,1
