UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
182,Akron City of,IA,1992,1,24,470,20,359,0,0,0,0,44,829
182,Akron City of,IA,1992,2,25,490,19,359,0,0,0,0,44,849
182,Akron City of,IA,1992,3,23,426,19,358,0,0,0,0,42,784
182,Akron City of,IA,1992,4,21,390,19,360,0,0,0,0,40,750
182,Akron City of,IA,1992,5,20,362,20,355,0,0,0,0,40,717
182,Akron City of,IA,1992,6,20,354,20,351,0,0,0,0,40,705
182,Akron City of,IA,1992,7,22,415,20,368,0,0,0,0,42,783
182,Akron City of,IA,1992,8,23,433,19,362,0,0,0,0,42,795
182,Akron City of,IA,1992,9,21,388,20,372,0,0,0,0,41,760
182,Akron City of,IA,1992,10,20,369,21,381,0,0,0,0,41,750
182,Akron City of,IA,1992,11,23,433,23,453,0,0,0,0,46,886
182,Akron City of,IA,1992,12,24,456,25,507,0,0,0,0,49,963
195,Alabama Power Co,AL,1992,1,73945,1128212,46080,675745,61019,1425674,1109,17220,182153,3246851
195,Alabama Power Co,AL,1992,2,57101,851187,39371,580605,57940,1404209,930,13661,155342,2849662
195,Alabama Power Co,AL,1992,3,57020,796622,45758,675020,65380,1512610,1201,16748,169359,3001000
195,Alabama Power Co,AL,1992,4,57737,802715,44525,627541,67039,1478871,1056,13022,170357,2922149
195,Alabama Power Co,AL,1992,5,63376,851503,52675,757578,73182,1580285,1142,13531,190375,3202897
195,Alabama Power Co,AL,1992,6,80671,1132819,56365,820431,71979,1542610,1026,12323,210041,3508183
195,Alabama Power Co,AL,1992,7,109335,1544956,60021,872343,70928,1513086,1062,12427,241346,3942812
195,Alabama Power Co,AL,1992,8,92982,1292917,54411,794476,72392,1630855,1007,13177,220792,3731425
195,Alabama Power Co,AL,1992,9,76353,1078324,53909,794971,64718,1553478,985,14336,195965,3441109
195,Alabama Power Co,AL,1992,10,57837,763608,49108,712491,67034,1568393,1131,17022,175110,3061514
195,Alabama Power Co,AL,1992,11,53364,752922,44702,672685,67396,1576851,1069,16795,166531,3019253
195,Alabama Power Co,AL,1992,12,65939,1073483,42891,645983,61304,1473352,1016,16536,171150,3209354
213,Alaska Electric Light&Power Co,AK,1992,1,1119,13141,257,3165,235,3715,468,5610,2079,25631
213,Alaska Electric Light&Power Co,AK,1992,2,1144,13492,259,3203,235,3669,433,5429,2071,25793
213,Alaska Electric Light&Power Co,AK,1992,3,1007,11716,249,3013,227,3447,419,5455,1902,23631
213,Alaska Electric Light&Power Co,AK,1992,4,1014,11809,247,3017,229,3560,419,5609,1909,23995
213,Alaska Electric Light&Power Co,AK,1992,5,860,9777,237,2878,230,3553,420,5242,1747,21450
213,Alaska Electric Light&Power Co,AK,1992,6,641,8368,184,2686,187,3394,336,4703,1348,19151
213,Alaska Electric Light&Power Co,AK,1992,7,577,7370,184,2702,195,3491,320,4384,1276,17947
213,Alaska Electric Light&Power Co,AK,1992,8,608,7870,188,2799,209,3851,312,4517,1317,19037
213,Alaska Electric Light&Power Co,AK,1992,9,675,8929,180,2643,195,3494,324,4568,1374,19634
213,Alaska Electric Light&Power Co,AK,1992,10,748,10092,192,2816,194,3477,349,5330,1483,21715
213,Alaska Electric Light&Power Co,AK,1992,11,1012,11806,245,2996,243,3698,432,5654,1932,24154
213,Alaska Electric Light&Power Co,AK,1992,12,1109,13033,250,3040,237,3581,445,5636,2041,25290
221,Alaska Village Elec Coop Inc,AK,1992,1,702,1675,188,513,0,0,607,1745,1497,3933
221,Alaska Village Elec Coop Inc,AK,1992,2,665,1584,184,503,0,0,611,1758,1460,3845
221,Alaska Village Elec Coop Inc,AK,1992,3,607,1445,179,485,0,0,614,1764,1400,3694
221,Alaska Village Elec Coop Inc,AK,1992,4,582,1382,182,496,0,0,612,1765,1376,3643
221,Alaska Village Elec Coop Inc,AK,1992,5,542,1285,171,472,0,0,556,1587,1269,3344
