UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Co,AL,1994,1,86207,1327466,51325,741780,62514,1457360,1137,15064,201183,3541670
195,Alabama Power Co,AL,1994,2,61773,916490,43282,651926,57797,1454471,1005,14054,163857,3036941
195,Alabama Power Co,AL,1994,3,64832,899409,51246,705905,64649,1577067,1213,16312,181940,3198693
195,Alabama Power Co,AL,1994,4,62065,892908,51812,773625,63796,1482245,1205,16552,178878,3165330
195,Alabama Power Co,AL,1994,5,66583,934262,54578,813405,72347,1672608,1156,15695,194664,3435970
195,Alabama Power Co,AL,1994,6,92655,1298909,62639,921700,74051,1644394,1145,15303,230490,3880306
195,Alabama Power Co,AL,1994,7,100733,1443043,57769,875099,69229,1625298,1066,14503,228797,3957943
195,Alabama Power Co,AL,1994,8,101272,1447602,63859,970333,72253,1718464,1201,16562,238585,4152961
195,Alabama Power Co,AL,1994,9,97267,1428167,64175,963083,74474,1906097,1105,15548,237021,4312895
195,Alabama Power Co,AL,1994,10,60102,831969,53316,795717,67211,1732686,1137,16153,181766,3376525
195,Alabama Power Co,AL,1994,11,53330,762207,46334,723456,61573,1581960,1078,15441,162315,3083064
195,Alabama Power Co,AL,1994,12,66327,1000715,46867,709768,63693,1626714,1066,14690,177953,3351887
213,Alaska Electric Light&Power Co,AK,1994,1,1254,14352,302,3707,280,4089,404,6010,2240,28158
213,Alaska Electric Light&Power Co,AK,1994,2,1279,14651,307,3742,287,4131,405,5997,2278,28521
213,Alaska Electric Light&Power Co,AK,1994,3,1215,13897,300,3682,288,4067,398,5842,2201,27488
213,Alaska Electric Light&Power Co,AK,1994,4,1022,11525,281,3472,276,4002,387,5871,1966,24870
213,Alaska Electric Light&Power Co,AK,1994,5,877,9326,265,3074,269,3646,374,5261,1785,21307
213,Alaska Electric Light&Power Co,AK,1994,6,682,8649,211,3065,223,3751,293,4917,1409,20382
213,Alaska Electric Light&Power Co,AK,1994,7,601,7389,209,2985,239,4044,279,4513,1328,18931
213,Alaska Electric Light&Power Co,AK,1994,8,623,7719,213,3072,234,3998,279,4477,1349,19266
213,Alaska Electric Light&Power Co,AK,1994,9,671,8351,225,3225,239,4061,306,4944,1441,20581
213,Alaska Electric Light&Power Co,AK,1994,10,837,9638,250,3209,270,3945,355,5264,1712,22056
213,Alaska Electric Light&Power Co,AK,1994,11,1091,12245,285,3429,288,4098,383,5593,2047,25365
213,Alaska Electric Light&Power Co,AK,1994,12,1278,14524,315,3808,312,4484,417,6392,2322,29208
599,Anchorage City of,AK,1994,1,1396,15234,4303,56805,0,0,128,2069,5827,74108
599,Anchorage City of,AK,1994,2,1176,12592,4013,51954,0,0,131,2211,5320,66757
599,Anchorage City of,AK,1994,3,1275,13771,4221,55361,0,0,133,2186,5629,71318
599,Anchorage City of,AK,1994,4,1207,12936,4319,57236,0,0,140,2323,5666,72495
599,Anchorage City of,AK,1994,5,1050,11050,4061,53029,0,0,131,1916,5242,65995
599,Anchorage City of,AK,1994,6,990,10321,4058,52797,0,0,147,1780,5195,64898
599,Anchorage City of,AK,1994,7,964,9997,4083,52852,0,0,139,1429,5186,64278
599,Anchorage City of,AK,1994,8,965,9996,4176,54420,0,0,163,2079,5304,66495
599,Anchorage City of,AK,1994,9,1081,10978,4361,55084,0,0,153,1874,5595,67936
599,Anchorage City of,AK,1994,10,1127,11367,4306,53427,0,0,149,1968,5582,66762
599,Anchorage City of,AK,1994,11,1189,12078,4311,53015,0,0,125,1490,5625,66583
599,Anchorage City of,AK,1994,12,1569,16747,4817,63686,0,0,123,1553,6509,81986
689,Anoka Electric Coop,MN,1994,1,5200,68146,1751,29538,260,5507,67,639,7278,103830
689,Anoka Electric Coop,MN,1994,2,4332,57031,1507,25671,264,5677,75,537,6178,88916
689,Anoka Electric Coop,MN,1994,3,4238,54261,1558,25753,275,6108,66,628,6137,86750
689,Anoka Electric Coop,MN,1994,4,4331,48305,1712,25087,244,5356,72,730,6359,79478
689,Anoka Electric Coop,MN,1994,5,3937,47738,1644,27649,260,5603,73,657,5914,81647
689,Anoka Electric Coop,MN,1994,6,4439,53511,2194,35737,295,5691,151,1676,7079,96615
689,Anoka Electric Coop,MN,1994,7,4792,60912,1691,27948,275,5947,191,2601,6949,97408
689,Anoka Electric Coop,MN,1994,8,4436,55099,1897,31932,276,6313,197,2744,6806,96088
689,Anoka Electric Coop,MN,1994,9,4093,50676,1706,27837,284,6332,143,1609,6226,86454
689,Anoka Electric Coop,MN,1994,10,3660,49900,1445,25678,270,5968,69,717,5444,82263
689,Anoka Electric Coop,MN,1994,11,3822,51144,1569,29203,238,5353,63,642,5692,86342
689,Anoka Electric Coop,MN,1994,12,4568,63345,1603,29985,242,5602,64,549,6477,99481
727,Appalachian Electric Coop,TN,1994,1,3490,59793,880,13847,448,10019,11,202,4829,83861
727,Appalachian Electric Coop,TN,1994,2,3031,51304,777,11667,425,9830,8,133,4241,72934
727,Appalachian Electric Coop,TN,1994,3,2363,38951,730,11097,428,10561,8,131,3529,60740
727,Appalachian Electric Coop,TN,1994,4,1999,32236,714,10524,421,10150,9,136,3143,53046
727,Appalachian Electric Coop,TN,1994,5,1568,24345,714,10826,419,10009,8,124,2709,45304
727,Appalachian Electric Coop,TN,1994,6,1835,29220,792,12159,489,11378,8,113,3124,52870
727,Appalachian Electric Coop,TN,1994,7,2241,36663,843,12853,429,10006,8,119,3521,59641
727,Appalachian Electric Coop,TN,1994,8,2041,32967,843,12792,441,10513,8,122,3333,56394
727,Appalachian Electric Coop,TN,1994,9,1944,31165,810,12020,426,10078,9,140,3189,53403
727,Appalachian Electric Coop,TN,1994,10,1587,24607,737,10923,405,9484,10,162,2739,45176
727,Appalachian Electric Coop,TN,1994,11,1799,28466,726,10462,398,9189,9,148,2932,48265
727,Appalachian Electric Coop,TN,1994,12,2382,39174,767,11352,389,9152,10,159,3548,59837
733,Appalachian Power Co,VA,1994,1,37816,729351,11761,244344,15799,424944,2759,57629,68135,1456268
733,Appalachian Power Co,WV,1994,1,31519,585877,14365,273393,13801,348716,250,3621,59935,1211607
733,Appalachian Power Co,VA,1994,2,26017,481585,8937,174670,14893,388839,2204,44729,52051,1089823
733,Appalachian Power Co,WV,1994,2,26915,498711,12273,221241,13257,345010,235,2927,52680,1067889
733,Appalachian Power Co,VA,1994,3,26935,475621,10266,203218,17075,457358,2590,51758,56866,1187955
733,Appalachian Power Co,WV,1994,3,23250,407368,13327,237876,14564,373808,248,3117,51389,1022169
733,Appalachian Power Co,VA,1994,4,19233,315967,8793,175878,16041,430534,2129,40455,46196,962834
733,Appalachian Power Co,WV,1994,4,18036,306218,11618,206029,13361,341159,242,2657,43257,856063
733,Appalachian Power Co,VA,1994,5,19188,301941,9763,190730,17188,462778,2357,44991,48496,1000440
733,Appalachian Power Co,WV,1994,5,16324,263055,12692,220727,14122,368453,244,2418,43382,854653
733,Appalachian Power Co,VA,1994,6,24029,361173,11071,217578,18392,472331,2382,46043,55874,1097125
733,Appalachian Power Co,WV,1994,6,19335,326543,13578,248504,14029,363837,241,2239,47183,941123
733,Appalachian Power Co,VA,1994,7,24799,432399,10859,231677,16242,421820,2061,41324,53961,1127220
733,Appalachian Power Co,WV,1994,7,23187,407791,13855,262541,13270,330740,237,2321,50549,1003393
733,Appalachian Power Co,VA,1994,8,22491,381834,10439,220555,18163,485648,2029,41266,53122,1129303
733,Appalachian Power Co,WV,1994,8,20543,349138,13889,255916,14454,387082,241,2525,49127,994661
733,Appalachian Power Co,VA,1994,9,18437,298424,9432,193413,16555,444146,2144,43080,46568,979063
733,Appalachian Power Co,WV,1994,9,16044,265652,12426,227346,13638,359052,240,2663,42348,854713
733,Appalachian Power Co,VA,1994,10,19730,309970,9737,190901,17477,463267,2396,47888,49340,1012026
733,Appalachian Power Co,WV,1994,10,16739,271872,12916,226727,14803,392736,249,3184,44707,894519
733,Appalachian Power Co,VA,1994,11,21945,372552,8887,179241,16134,434692,2197,43513,49163,1029998
733,Appalachian Power Co,WV,1994,11,20057,342486,12168,213456,14481,382712,248,3315,46954,941969
733,Appalachian Power Co,VA,1994,12,29203,528342,9824,207846,15259,436502,2647,51293,56933,1223983
733,Appalachian Power Co,WV,1994,12,24275,438854,12388,231793,14132,389398,250,3603,51045,1063648
803,Arizona Public Service Co,AZ,1994,1,55558,580342,49006,553540,13953,230175,1024,6523,119541,1370580
803,Arizona Public Service Co,AZ,1994,2,51364,529411,47426,529746,14037,230125,998,6421,113825,1295703
803,Arizona Public Service Co,AZ,1994,3,45126,450232,47642,535485,14653,234815,973,6329,108394,1226861
803,Arizona Public Service Co,AZ,1994,4,41303,400540,49761,560025,15800,257542,991,6375,107855,1224482
803,Arizona Public Service Co,AZ,1994,5,46592,402618,50728,569907,15315,252465,958,6344,113593,1231334
803,Arizona Public Service Co,AZ,1994,6,62553,564914,61511,657223,17010,273570,978,6496,142052,1502203
803,Arizona Public Service Co,AZ,1994,7,86177,803184,68850,759749,17253,273042,950,6360,173230,1842335
803,Arizona Public Service Co,AZ,1994,8,88738,832090,68240,747761,17339,276223,990,6301,175307,1862375
803,Arizona Public Service Co,AZ,1994,9,87013,817647,69011,762140,17262,279121,963,6294,174249,1865202
803,Arizona Public Service Co,AZ,1994,10,58161,530158,59789,636570,15536,252283,964,6321,134450,1425332
803,Arizona Public Service Co,AZ,1994,11,42194,420044,49691,574619,14776,249610,974,6411,107635,1250684
803,Arizona Public Service Co,AZ,1994,12,48539,542120,45141,569284,13795,249687,944,6652,108419,1367743
814,Arkansas Power & Light Co,AR,1994,1,45734,533524,23158,326235,25221,468955,1436,20593,95549,1349307
814,Arkansas Power & Light Co,AR,1994,2,42027,490353,22402,307750,24612,461184,1326,18122,90367,1277409
814,Arkansas Power & Light Co,AR,1994,3,35502,414254,20711,296406,22972,434164,1350,19172,80535,1163996
814,Arkansas Power & Light Co,AR,1994,4,31526,342817,21119,284267,23600,466601,1301,18514,77546,1104561
814,Arkansas Power & Light Co,AR,1994,5,31745,340023,23759,321226,24314,481897,1271,18331,81089,1161477
814,Arkansas Power & Light Co,AR,1994,6,45066,457774,29930,381253,32687,517718,1504,19925,109187,1376670
814,Arkansas Power & Light Co,AR,1994,7,62735,663579,32668,436427,33389,512481,1608,22532,130400,1635019
814,Arkansas Power & Light Co,AR,1994,8,54552,583848,30311,405429,33267,523840,1559,20985,119689,1534102
814,Arkansas Power & Light Co,AR,1994,9,53170,554978,32258,417555,33868,524344,1572,19910,120868,1516787
814,Arkansas Power & Light Co,AR,1994,10,37142,408813,26615,364016,29408,526287,1322,18929,94487,1318045
814,Arkansas Power & Light Co,AR,1994,11,31426,335359,22534,303190,28974,525412,1229,17782,84163,1181743
814,Arkansas Power & Light Co,AR,1994,12,35535,396473,21831,302930,26676,496661,1222,16745,85264,1212809
817,Arkansas Valley Elec Coop Corp,AR,1994,1,2673,38942,295,4458,459,12785,35,480,3462,56665
817,Arkansas Valley Elec Coop Corp,AR,1994,2,2617,40017,287,4360,508,14064,36,515,3448,58956
817,Arkansas Valley Elec Coop Corp,AR,1994,3,2323,32675,285,4101,491,14181,31,405,3130,51362
817,Arkansas Valley Elec Coop Corp,AR,1994,4,2051,29212,283,4333,495,14640,29,399,2858,48584
817,Arkansas Valley Elec Coop Corp,AR,1994,5,1863,25818,287,4378,487,14371,32,422,2669,44989
817,Arkansas Valley Elec Coop Corp,AR,1994,6,2185,30659,308,4522,556,14813,40,526,3089,50520
817,Arkansas Valley Elec Coop Corp,AR,1994,7,3209,46598,366,5406,577,15818,50,684,4202,68506
817,Arkansas Valley Elec Coop Corp,AR,1994,8,2890,43763,348,5427,480,14635,44,630,3762,64455
817,Arkansas Valley Elec Coop Corp,AR,1994,9,2606,41402,339,5581,499,14376,46,700,3490,62059
