UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
195,Alabama Power Company,AL,1999,1,98152,1569255,1107131,59982,982087,182970,56183,1630928,5020,1236,17049,699,215553,4199319,1295820
195,Alabama Power Company,AL,1999,2,56724,817730,1107854,48025,755403,183378,57819,1758701,5025,1081,15489,698,163649,3347323,1296955
195,Alabama Power Company,AL,1999,3,71442,1114881,1110034,56424,896303,184016,59613,1877937,5006,1219,17029,699,188698,3906150,1299755
195,Alabama Power Company,AL,1999,4,73955,986492,1111407,64253,925294,184794,64966,1731159,5001,1236,15650,700,204410,3658595,1301902
195,Alabama Power Company,AL,1999,5,87212,1206641,1112554,70189,1144960,184794,68715,1775813,5040,1816,23950,700,227932,4151364,1303088
195,Alabama Power Company,AL,1999,6,107902,1473496,1112112,70112,1096177,185825,78646,2020764,5006,1041,13500,702,257701,4603937,1303645
195,Alabama Power Company,AL,1999,7,148405,1959168,1113317,89677,1327381,186234,78688,1958843,4998,1430,17948,702,318200,5263340,1305251
195,Alabama Power Company,AL,1999,8,169572,2100546,1115311,92355,1281463,186738,105580,1898461,5001,1350,16056,703,368857,5296526,1307753
195,Alabama Power Company,AL,1999,9,115371,1480442,1116851,74942,1134811,187251,71881,1824806,4986,1165,15197,701,263359,4455256,1309789
195,Alabama Power Company,AL,1999,10,65746,936283,1117772,62225,1019109,187720,62605,1766697,4901,1227,17433,702,191803,3739522,1311095
195,Alabama Power Company,AL,1999,11,62230,893988,1118535,56561,841353,188111,74930,2053159,4898,1252,16342,702,194973,3804842,1312246
195,Alabama Power Company,AL,1999,12,88910,1160159,1120574,62354,909743,188368,63470,1645620,4897,1230,15506,701,215964,3731028,1314540
213,Alaska Electric Light&Power Co,AK,1999,1,1411,14636,12510,368,4119,1341,373,5065,89,476,7118,612,2628,30938,14552
213,Alaska Electric Light&Power Co,AK,1999,2,1342,13922,12522,356,3948,1344,357,4783,88,471,6713,609,2526,29366,14563
213,Alaska Electric Light&Power Co,AK,1999,3,1188,12054,12553,325,3539,1345,341,4415,89,432,5733,609,2286,25741,14596
213,Alaska Electric Light&Power Co,AK,1999,4,1140,11674,12525,332,3748,1342,353,4858,88,440,6089,609,2265,26369,14564
213,Alaska Electric Light&Power Co,AK,1999,5,1029,10032,12590,323,3437,1351,346,4457,87,429,5533,610,2127,23459,14638
213,Alaska Electric Light&Power Co,AK,1999,6,857,9421,12579,273,3350,1349,314,4606,89,373,5542,614,1817,22919,14631
213,Alaska Electric Light&Power Co,AK,1999,7,731,7971,12598,260,3253,1355,308,4614,89,330,4731,615,1629,20569,14657
213,Alaska Electric Light&Power Co,AK,1999,8,746,8483,12559,259,3412,1358,310,4934,90,321,4831,615,1636,21660,14622
213,Alaska Electric Light&Power Co,AK,1999,9,774,9035,12583,259,3455,1356,295,4737,91,341,5238,614,1669,22465,14644
213,Alaska Electric Light&Power Co,AK,1999,10,844,9814,12576,264,3454,1362,299,4699,92,348,5310,612,1755,23277,14642
213,Alaska Electric Light&Power Co,AK,1999,11,1157,11698,12602,326,3536,1365,351,4647,92,434,5829,616,2268,25710,14675
213,Alaska Electric Light&Power Co,AK,1999,12,1213,12336,12614,328,3558,1363,349,4602,90,438,6013,619,2328,26509,14686
599,Anchorage Mun Light and Power,AK,1999,1,1610,17629,23679,4741,65419,5851,0,0,0,136,1748,4568,6487,84796,34098
599,Anchorage Mun Light and Power,AK,1999,2,1405,15141,23688,4502,60564,5853,0,0,0,127,1437,4545,6034,77142,34086
599,Anchorage Mun Light and Power,AK,1999,3,1235,13079,23750,4336,57757,5873,0,0,0,114,939,4552,5685,71775,34175
599,Anchorage Mun Light and Power,AK,1999,4,1178,11950,23789,4548,58770,5835,0,0,0,114,844,4568,5840,71564,34192
599,Anchorage Mun Light and Power,AK,1999,5,1130,11388,23734,4585,58845,5879,0,0,0,131,1031,4562,5846,71264,34175
599,Anchorage Mun Light and Power,AK,1999,6,1038,10297,23918,4421,55339,5859,0,0,0,120,691,4557,5579,66327,34334
599,Anchorage Mun Light and Power,AK,1999,7,985,9707,23731,4563,58430,5862,0,0,0,117,637,4384,5665,68774,33977
599,Anchorage Mun Light and Power,AK,1999,8,1086,10879,23807,4583,58529,5845,0,0,0,113,457,4387,5782,69865,34039
599,Anchorage Mun Light and Power,AK,1999,9,1095,10981,23810,4464,57114,5841,0,0,0,115,735,4381,5674,68830,34032
599,Anchorage Mun Light and Power,AK,1999,10,1126,11591,23784,4371,57146,5852,0,0,0,102,706,4380,5599,69443,34016
599,Anchorage Mun Light and Power,AK,1999,11,1212,12615,23752,4153,54347,5842,0,0,0,110,953,4372,5475,67915,33966
599,Anchorage Mun Light and Power,AK,1999,12,1430,15231,23630,5059,68518,5929,0,0,0,117,1101,4378,6606,84850,33937
689,Anoka Electric Cooperative,MN,1999,1,5832,84356,85709,2096,41675,5650,250,5764,11,66,796,487,8244,132591,91857
689,Anoka Electric Cooperative,MN,1999,2,4739,66595,85957,1912,34607,5665,209,4960,11,68,623,488,6928,106785,92121
689,Anoka Electric Cooperative,MN,1999,3,4868,67207,86241,2243,41282,5669,211,4661,11,80,825,485,7402,113975,92406
689,Anoka Electric Cooperative,MN,1999,4,4373,58360,86494,1954,35929,5698,216,4538,11,68,620,485,6611,99447,92688
689,Anoka Electric Cooperative,MN,1999,5,4832,55080,86614,2947,51102,5707,240,4833,11,109,1145,488,8128,112160,92820
689,Anoka Electric Cooperative,MN,1999,6,5476,67631,86687,2777,44628,5707,263,5453,11,144,1410,489,8660,119122,92894
689,Anoka Electric Cooperative,MN,1999,7,8255,109542,87031,3073,49607,5723,265,5845,11,195,2372,493,11788,167366,93258
689,Anoka Electric Cooperative,MN,1999,8,6061,82408,87562,2298,41017,5732,279,5664,11,233,3813,494,8871,132902,93799
689,Anoka Electric Cooperative,MN,1999,9,4860,60352,87862,2665,45139,5744,293,5745,11,160,1804,492,7978,113040,94109
689,Anoka Electric Cooperative,MN,1999,10,5336,62832,88232,3168,50740,5738,304,6130,11,130,1237,492,8938,120939,94473
689,Anoka Electric Cooperative,MN,1999,11,5034,60411,88597,2205,30492,5756,318,6621,11,88,796,489,7645,98320,94853
689,Anoka Electric Cooperative,MN,1999,12,6129,77258,88863,2955,51497,5769,292,6601,11,86,849,490,9462,136205,95133
727,Appalachian Electric Coop,TN,1999,1,3870,63383,32840,1010,14207,4764,311,6751,7,15,238,36,5206,84579,37647
