UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Company,AL,1998,1,83921,1318247,50203,674189,53972,1357901,1139,15386,189235,3365723
195,Alabama Power Company,AL,1998,2,70874,1108198,48141,858518,67233,2424553,1348,20056,187596,4411325
195,Alabama Power Company,AL,1998,3,72403,1063878,57294,893031,54622,1512446,1094,15278,185413,3484633
195,Alabama Power Company,AL,1998,4,61662,875625,50813,807691,62810,1900862,1348,20544,176633,3604722
195,Alabama Power Company,AL,1998,5,87207,1165675,74181,1099141,82965,1936535,1090,15391,245442,4216742
195,Alabama Power Company,AL,1998,6,137625,1857060,78887,1195425,86779,1986444,900,12533,304191,5051462
195,Alabama Power Company,AL,1998,7,149997,2070040,82180,1270507,83340,1650741,1383,17166,316900,5008454
195,Alabama Power Company,AL,1998,8,135489,1801395,77475,1165635,86127,1634841,1144,14092,300235,4615963
195,Alabama Power Company,AL,1998,9,111977,1491742,72111,1078245,82686,1989673,1231,15227,268005,4574887
195,Alabama Power Company,AL,1998,10,90815,1265499,71121,1091253,70549,1684050,1462,20096,233947,4060898
195,Alabama Power Company,AL,1998,11,59926,756021,58062,878721,67186,1906201,1151,15145,186325,3556088
195,Alabama Power Company,AL,1998,12,71540,1021163,58701,892151,55281,1600870,1233,15731,186755,3529915
213,Alaska Electric Light&Power Co,AK,1998,1,1430,14868,354,3934,363,4986,459,6435,2606,30223
213,Alaska Electric Light&Power Co,AK,1998,2,1249,12755,341,3752,353,4748,455,6471,2398,27726
213,Alaska Electric Light&Power Co,AK,1998,3,1119,11307,311,3369,328,4295,424,5909,2182,24880
213,Alaska Electric Light&Power Co,AK,1998,4,1132,11440,321,3536,344,4629,438,6253,2235,25858
213,Alaska Electric Light&Power Co,AK,1998,5,954,9403,304,3262,331,4381,406,5524,1995,22570
213,Alaska Electric Light&Power Co,AK,1998,6,746,8579,248,3244,283,4457,329,5065,1606,21345
213,Alaska Electric Light&Power Co,AK,1998,7,693,7863,243,3184,283,4470,304,4568,1523,20085
213,Alaska Electric Light&Power Co,AK,1998,8,709,8079,256,3425,300,4837,314,4715,1579,21056
213,Alaska Electric Light&Power Co,AK,1998,9,213,5503,159,3419,286,7042,60,1168,718,17132
213,Alaska Electric Light&Power Co,AK,1998,10,810,9480,256,3387,284,4515,339,5366,1689,22748
213,Alaska Electric Light&Power Co,AK,1998,11,1135,11505,330,3615,354,4718,433,6030,2252,25868
213,Alaska Electric Light&Power Co,AK,1998,12,1249,12856,332,3644,337,4458,431,6144,2349,27102
599,Anchorage Mun Light and Power,AK,1998,1,1536,16776,4633,63484,0,0,103,993,6272,81253
599,Anchorage Mun Light and Power,AK,1998,2,1234,13111,4250,56121,0,0,106,915,5590,70147
599,Anchorage Mun Light and Power,AK,1998,3,1132,11867,4145,54342,0,0,116,990,5393,67199
599,Anchorage Mun Light and Power,AK,1998,4,1174,12369,4341,58678,0,0,131,1302,5646,72349
599,Anchorage Mun Light and Power,AK,1998,5,1072,11127,4247,56841,0,0,140,1376,5459,69344
599,Anchorage Mun Light and Power,AK,1998,6,988,10106,4118,53149,0,0,150,1488,5256,64743
599,Anchorage Mun Light and Power,AK,1998,7,965,9820,4326,57499,0,0,166,1697,5457,69016
599,Anchorage Mun Light and Power,AK,1998,8,1048,10819,4387,58923,0,0,216,2986,5651,72728
599,Anchorage Mun Light and Power,AK,1998,9,1018,10456,4268,57143,0,0,227,3405,5513,71004
599,Anchorage Mun Light and Power,AK,1998,10,1026,10556,4124,54298,0,0,160,1980,5310,66834
599,Anchorage Mun Light and Power,AK,1998,11,1305,13912,4435,60279,0,0,146,1719,5886,75910
599,Anchorage Mun Light and Power,AK,1998,12,1294,13800,4520,61654,0,0,120,1362,5934,76816
689,Anoka Electric Cooperative,MN,1998,1,5293,75241,1886,34502,294,6779,69,655,7542,117177
689,Anoka Electric Cooperative,MN,1998,2,4219,59000,1710,32861,285,6523,64,710,6278,99094
689,Anoka Electric Cooperative,MN,1998,3,4305,58258,2239,43825,280,6311,78,760,6902,109154
689,Anoka Electric Cooperative,MN,1998,4,4188,56433,1802,32172,277,5830,71,730,6338,95165
689,Anoka Electric Cooperative,MN,1998,5,4941,56050,2714,43749,304,6510,146,1509,8105,107818
689,Anoka Electric Cooperative,MN,1998,6,5024,62367,2607,42120,290,6081,165,1996,8086,112564
689,Anoka Electric Cooperative,MN,1998,7,6731,87361,2679,45677,278,6589,188,2389,9876,142016
689,Anoka Electric Cooperative,MN,1998,8,6359,84381,2282,38234,299,6478,258,4190,9198,133283
689,Anoka Electric Cooperative,MN,1998,9,4940,63081,2508,44201,289,6237,179,2356,7916,115875
689,Anoka Electric Cooperative,MN,1998,10,4033,58597,1887,38225,241,5522,106,1231,6267,103575
689,Anoka Electric Cooperative,MN,1998,11,4581,60864,2318,41443,301,6702,78,633,7278,109642
689,Anoka Electric Cooperative,MN,1998,12,5890,82020,2604,50790,245,6158,87,785,8826,139753
727,Appalachian Electric Coop,TN,1998,1,3528,57359,977,13865,312,6918,14,229,4831,78371
727,Appalachian Electric Coop,TN,1998,2,3128,50037,937,13284,294,6331,12,177,4371,69829
727,Appalachian Electric Coop,TN,1998,3,2869,45279,939,13166,301,6528,12,177,4121,65150
727,Appalachian Electric Coop,TN,1998,4,2501,38538,900,12411,308,6627,11,160,3720,57736
727,Appalachian Electric Coop,TN,1998,5,2113,31506,922,12838,310,6670,11,148,3356,51162
727,Appalachian Electric Coop,TN,1998,6,2442,37453,1040,15123,339,6832,11,157,3832,59565
727,Appalachian Electric Coop,TN,1998,7,2940,46458,1067,15445,367,7066,10,139,4384,69108
727,Appalachian Electric Coop,TN,1998,8,2771,43365,1071,15397,340,7225,11,147,4193,66134
727,Appalachian Electric Coop,TN,1998,9,2879,45279,1105,16110,335,7160,13,185,4332,68734
727,Appalachian Electric Coop,TN,1998,10,2363,35902,977,13807,328,7017,13,198,3681,56924
727,Appalachian Electric Coop,TN,1998,11,2244,33742,897,12441,300,6299,13,191,3454,52673
727,Appalachian Electric Coop,TN,1998,12,2778,43379,929,13111,305,6534,18,302,4030,63326
733,Appalachian Power Company,VA,1998,1,32829,585893,10576,225281,16094,454217,2627,54586,62126,1319977
733,Appalachian Power Company,WV,1998,1,26029,499745,12589,252533,14253,418180,254,3627,53125,1174085
733,Appalachian Power Company,VA,1998,2,28917,500439,10092,204933,16123,438304,2566,51969,57698,1195645
733,Appalachian Power Company,WV,1998,2,24063,448937,12859,244346,14012,387337,204,2493,51138,1083113
733,Appalachian Power Company,VA,1998,3,27361,530557,9848,225451,17466,497244,2826,57141,57501,1310634
733,Appalachian Power Company,WV,1998,3,14465,262954,17375,341275,19206,536976,350,4596,51396,1145801
733,Appalachian Power Company,VA,1998,4,22062,373998,9887,202343,16951,479107,2443,49138,51343,1104586
733,Appalachian Power Company,WV,1998,4,27195,492911,7847,133161,7895,251339,187,1660,43124,879071
733,Appalachian Power Company,VA,1998,5,22895,372249,10388,225868,18407,516493,2716,54667,54406,1169277
733,Appalachian Power Company,WV,1998,5,19218,328469,13887,261887,15344,419804,248,2087,48697,1012247
733,Appalachian Power Company,VA,1998,6,21382,365027,9985,222312,17225,494715,2455,49553,51047,1131607
733,Appalachian Power Company,WV,1998,6,17188,302354,14441,284362,16183,453206,243,1782,48055,1041704
733,Appalachian Power Company,VA,1998,7,27555,486826,11511,257537,16638,462320,2515,51534,58219,1258217
733,Appalachian Power Company,WV,1998,7,24132,443028,14222,285569,12908,342649,246,2330,51508,1073576
733,Appalachian Power Company,VA,1998,8,25886,447505,11414,251862,18944,541586,2507,50597,58751,1291550
733,Appalachian Power Company,WV,1998,8,24146,440854,14747,288707,14719,416544,209,2125,53821,1148230
733,Appalachian Power Company,VA,1998,9,19244,401827,9021,234838,17054,502578,2743,55396,48062,1194639
733,Appalachian Power Company,WV,1998,9,18662,335672,13831,278961,14648,420191,319,3513,47460,1038337
733,Appalachian Power Company,VA,1998,10,19091,316523,9532,204830,17878,502280,2658,53607,49159,1077240
733,Appalachian Power Company,WV,1998,10,17876,308719,13955,267136,15214,434517,249,3169,47294,1013541
733,Appalachian Power Company,VA,1998,11,24507,421164,9493,201551,17537,493070,2669,54661,54206,1170446
733,Appalachian Power Company,WV,1998,11,19713,352630,11881,218435,15110,436012,250,3334,46954,1010411
733,Appalachian Power Company,VA,1998,12,28478,523267,10620,238831,17045,490094,2763,57433,58906,1309625
733,Appalachian Power Company,WV,1998,12,25889,489505,14205,282704,14878,441135,259,3722,55231,1217066
803,Arizona Public Service Company,AZ,1998,1,59447,720379,47629,610608,12829,248989,820,7431,120725,1587407
803,Arizona Public Service Company,AZ,1998,2,48012,552870,47224,593120,13675,265369,696,6552,109607,1417911
803,Arizona Public Service Company,AZ,1998,3,47917,555903,48320,616047,13257,260874,933,7286,110427,1440110
803,Arizona Public Service Company,AZ,1998,4,43468,484492,49751,625707,13869,305900,832,7403,107920,1423502
803,Arizona Public Service Company,AZ,1998,5,54090,506677,55311,711151,15008,279479,709,7687,125118,1504994
803,Arizona Public Service Company,AZ,1998,6,65756,663489,67270,773063,16020,274914,891,7914,149937,1719380
