UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
195,Alabama Power Co,AL,1993,1,66089,1037453,43621,692090,57100,1461039,1081,17344,167891,3207926
195,Alabama Power Co,AL,1993,2,62657,896696,42625,605158,60275,1449608,1047,14033,166604,2965495
195,Alabama Power Co,AL,1993,3,64441,963938,45198,671254,64246,1487477,1094,14863,174979,3137532
195,Alabama Power Co,AL,1993,4,56819,772537,43619,642864,61730,1518300,1100,15657,163268,2949358
195,Alabama Power Co,AL,1993,5,61369,847899,51845,788369,72315,1617482,1233,16123,186762,3269873
195,Alabama Power Co,AL,1993,6,95006,1317540,62636,916472,74324,1550874,1159,15392,233125,3800278
195,Alabama Power Co,AL,1993,7,125196,1724504,65546,924356,76422,1571686,1057,14103,268221,4234649
195,Alabama Power Co,AL,1993,8,117972,1591203,65118,909488,78836,1654004,1146,14940,263072,4169635
195,Alabama Power Co,AL,1993,9,92518,1233228,58571,844761,70734,1546561,1009,13828,222832,3638378
195,Alabama Power Co,AL,1993,10,66497,871629,53707,758575,73309,1588376,1131,15263,194644,3233843
195,Alabama Power Co,AL,1993,11,62147,837915,51551,715708,72708,1587701,1179,15695,187585,3157019
195,Alabama Power Co,AL,1993,12,76566,1090520,50858,716367,70939,1562129,1109,14432,199472,3383448
213,Alaska Electric Light&Power Co,AK,1993,1,1414,17003,300,3870,257,4005,406,6718,2377,31596
213,Alaska Electric Light&Power Co,AK,1993,2,1218,14484,273,3447,238,3556,381,6030,2110,27517
213,Alaska Electric Light&Power Co,AK,1993,3,1043,12188,257,3124,226,3284,356,5404,1882,24000
213,Alaska Electric Light&Power Co,AK,1993,4,996,11543,262,3383,232,3529,370,5618,1860,24073
213,Alaska Electric Light&Power Co,AK,1993,5,822,9253,239,2933,223,3321,347,5057,1631,20564
213,Alaska Electric Light&Power Co,AK,1993,6,589,7528,186,2722,186,3282,268,4388,1229,17920
213,Alaska Electric Light&Power Co,AK,1993,7,548,6903,188,2737,184,3257,251,4102,1171,16999
213,Alaska Electric Light&Power Co,AK,1993,8,582,7434,197,2956,197,3554,261,4291,1237,18235
213,Alaska Electric Light&Power Co,AK,1993,9,623,8080,198,2952,191,3408,277,4575,1289,19015
213,Alaska Electric Light&Power Co,AK,1993,10,680,8988,207,3089,192,3423,290,5070,1369,20570
213,Alaska Electric Light&Power Co,AK,1993,11,969,11213,267,3346,235,3491,373,5429,1844,23479
213,Alaska Electric Light&Power Co,AK,1993,12,1090,12753,282,3574,247,3669,377,5884,1996,25880
599,Anchorage City of,AK,1993,1,1565,16933,4680,61826,0,0,103,1013,6348,79772
599,Anchorage City of,AK,1993,2,1376,14713,4325,56056,0,0,101,870,5802,71639
599,Anchorage City of,AK,1993,3,1172,12299,4155,52842,0,0,102,811,5429,65952
599,Anchorage City of,AK,1993,4,1147,11689,4245,52818,0,0,112,952,5504,65459
599,Anchorage City of,AK,1993,5,991,9890,4017,48866,0,0,104,672,5112,59428
599,Anchorage City of,AK,1993,6,993,9950,4209,52020,0,0,153,1678,5355,63648
599,Anchorage City of,AK,1993,7,1000,10090,4205,52245,0,0,227,3139,5432,65474
599,Anchorage City of,AK,1993,8,964,9675,4227,52909,0,0,167,2014,5358,64598
599,Anchorage City of,AK,1993,9,1034,10475,4182,52314,0,0,162,2045,5378,64834
599,Anchorage City of,AK,1993,10,1083,11181,4030,50791,0,0,157,2244,5270,64216
599,Anchorage City of,AK,1993,11,1210,12678,4247,54418,0,0,131,1764,5588,68860
599,Anchorage City of,AK,1993,12,1475,15782,4672,61473,0,0,136,2069,6283,79324
689,Anoka Electric Coop,MN,1993,1,4758,62598,1585,26277,263,5345,59,538,6665,94758
689,Anoka Electric Coop,MN,1993,2,4039,52435,1509,24188,277,5570,62,563,5887,82756
689,Anoka Electric Coop,MN,1993,3,4328,55548,1624,23685,261,5182,72,610,6285,85025
689,Anoka Electric Coop,MN,1993,4,3656,45673,1455,23770,286,5589,60,554,5457,75586
689,Anoka Electric Coop,MN,1993,5,3703,43856,1597,24583,275,5573,83,843,5658,74855
689,Anoka Electric Coop,MN,1993,6,3605,42106,1944,29952,270,5334,81,698,5900,78090
689,Anoka Electric Coop,MN,1993,7,4501,53632,2014,30184,249,5499,108,1033,6872,90348
689,Anoka Electric Coop,MN,1993,8,4968,60604,1604,29626,321,5114,187,2427,7080,97771
689,Anoka Electric Coop,MN,1993,9,3746,46333,1443,22628,288,5872,91,914,5568,75747
689,Anoka Electric Coop,MN,1993,10,3872,48085,1621,25898,269,6248,75,718,5837,80949
689,Anoka Electric Coop,MN,1993,11,4130,51413,1739,29188,245,5479,74,683,6188,86763
689,Anoka Electric Coop,MN,1993,12,4825,61834,1717,28717,256,5606,70,676,6868,96833
727,Appalachian Electric Coop,TN,1993,1,2588,44007,751,11250,387,9473,10,171,3736,64901
727,Appalachian Electric Coop,TN,1993,2,2363,39856,749,11339,396,9256,8,138,3516,60589
727,Appalachian Electric Coop,TN,1993,3,2622,44627,756,11117,391,9335,8,122,3777,65201
727,Appalachian Electric Coop,TN,1993,4,2019,33507,708,10382,380,8908,8,116,3115,52913
727,Appalachian Electric Coop,TN,1993,5,1584,25487,700,10231,389,9405,7,105,2680,45228
727,Appalachian Electric Coop,TN,1993,6,1728,27396,768,11955,424,9660,7,118,2927,49129
727,Appalachian Electric Coop,TN,1993,7,2277,37470,822,12897,471,9374,7,110,3577,59851
727,Appalachian Electric Coop,TN,1993,8,2280,37508,848,13238,378,7292,8,118,3514,58156
727,Appalachian Electric Coop,TN,1993,9,2124,34615,805,12188,343,7045,8,128,3280,53976
727,Appalachian Electric Coop,TN,1993,10,1607,25124,590,10215,410,8961,8,136,2615,44436
727,Appalachian Electric Coop,TN,1993,11,2018,32636,725,11070,437,9735,9,167,3189,53608
727,Appalachian Electric Coop,TN,1993,12,2510,41691,745,11217,417,9822,9,149,3681,62879
733,Appalachian Power Co,VA,1993,1,28464,538356,9368,198407,14691,393650,2377,48456,54900,1178869
733,Appalachian Power Co,WV,1993,1,25631,464066,12491,233405,14495,374530,249,3627,52866,1075628
733,Appalachian Power Co,VA,1993,2,27530,506420,9614,194961,15324,406827,2445,50357,54913,1158565
733,Appalachian Power Co,WV,1993,2,24557,436727,12721,226840,14404,358019,244,3052,51926,1024638
