UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),COM_REV (Thousand $),COM_SALES (MwH),IND_REV (Thousand $),IND_SALES (MwH),OTH_REV (Thousand $),OTH_SALES (MwH),TOT_REV (Thousand $),TOT_SALES (MwH)
182,Akron City of,IA,1991,1,27,578,19,390,0,0,0,0,46,968
182,Akron City of,IA,1991,2,24,491,19,375,0,0,0,0,43,866
182,Akron City of,IA,1991,3,20,396,17,319,0,0,0,0,37,715
182,Akron City of,IA,1991,4,20,387,18,350,0,0,0,0,38,737
182,Akron City of,IA,1991,5,19,354,18,424,0,0,0,0,37,778
182,Akron City of,IA,1991,6,24,482,20,373,0,0,0,0,44,855
182,Akron City of,IA,1991,7,30,625,20,400,0,0,0,0,50,1025
182,Akron City of,IA,1991,8,29,593,23,466,0,0,0,0,52,1059
182,Akron City of,IA,1991,9,30,630,24,456,0,0,0,0,54,1086
182,Akron City of,IA,1991,10,18,333,20,392,0,0,0,0,38,725
182,Akron City of,IA,1991,11,22,414,19,357,0,0,0,0,41,771
182,Akron City of,IA,1991,12,26,509,22,378,0,0,0,0,48,887
195,Alabama Power Co,AL,1991,1,70186,1066747,45067,669522,57591,1300707,1115,17258,173959,3054234
195,Alabama Power Co,AL,1991,2,56304,842425,38757,569693,56816,1305846,934,13563,152811,2731527
195,Alabama Power Co,AL,1991,3,56691,812019,42539,613667,63311,1439320,1114,15880,163655,2880886
195,Alabama Power Co,AL,1991,4,53287,745958,44800,658583,65567,1446472,1073,13749,164727,2864762
195,Alabama Power Co,AL,1991,5,62647,887141,51653,779603,71428,1610651,1100,13532,186828,3290927
195,Alabama Power Co,AL,1991,6,87029,1233316,52187,770303,68599,1487021,928,11014,208743,3501654
195,Alabama Power Co,AL,1991,7,105659,1456736,58377,835379,73693,1548198,955,11677,238684,3851990
195,Alabama Power Co,AL,1991,8,112262,1563393,59848,869059,67648,1409474,1152,14482,240910,3856408
195,Alabama Power Co,AL,1991,9,82784,1164700,54099,775230,68927,1490902,1003,13715,206813,3444547
195,Alabama Power Co,AL,1991,10,56558,791876,49343,697702,70429,1543106,1173,17117,177503,3049801
195,Alabama Power Co,AL,1991,11,54964,777102,44635,664322,66200,1513138,1074,16623,166873,2971185
195,Alabama Power Co,AL,1991,12,65976,983485,41425,623069,60016,1416744,1039,16150,168456,3039448
213,Alaska Electric Light&Power Co,AK,1991,1,1422,16873,272,3335,235,3591,382,5775,2311,29574
213,Alaska Electric Light&Power Co,AK,1991,2,1117,12977,255,3111,228,3475,375,5655,1975,25218
213,Alaska Electric Light&Power Co,AK,1991,3,1029,11882,234,2808,212,3160,356,5237,1831,23087
213,Alaska Electric Light&Power Co,AK,1991,4,1028,11832,242,2944,219,3313,349,5279,1838,23368
213,Alaska Electric Light&Power Co,AK,1991,5,849,9464,224,2679,217,3219,343,5048,1633,20410
213,Alaska Electric Light&Power Co,AK,1991,6,627,8289,184,2687,187,3357,262,4729,1260,19062
213,Alaska Electric Light&Power Co,AK,1991,7,572,7374,170,2449,180,3108,303,4999,1225,17930
213,Alaska Electric Light&Power Co,AK,1991,8,588,7676,182,2660,190,3396,303,4509,1263,18241
213,Alaska Electric Light&Power Co,AK,1991,9,646,8615,189,2784,197,3559,290,4982,1322,19940
213,Alaska Electric Light&Power Co,AK,1991,10,727,9909,181,2628,182,3212,372,4907,1462,20656
213,Alaska Electric Light&Power Co,AK,1991,11,1006,11688,251,3072,238,3679,433,5614,1928,24053
